#o3_ppb	temp	humid	time
6.44	4.8	73.7	2014-02-03T15:06:00
6.31	4.8	73.7	2014-02-03T15:05:00
6.17	4.8	73.7	2014-02-03T15:04:00
5.7	4.8	73.7	2014-02-03T15:03:00
5.76	4.93	72.5	2014-02-03T15:02:00
5.29	5	71.9	2014-02-03T15:01:00
5.69	5	71.9	2014-02-03T15:00:00
5.93	5	71.9	2014-02-03T14:59:00
4.5	5	71.9	2014-02-03T14:58:00
4.37	5	71.9	2014-02-03T14:57:00
5.61	5	71.9	2014-02-03T14:56:00
5.64	5	71.9	2014-02-03T14:55:00
6.04	5	71.9	2014-02-03T14:54:00
5.92	5	71.9	2014-02-03T14:53:00
5.54	4.62	72.8	2014-02-03T14:52:00
6.19	4.4	73.3	2014-02-03T14:51:00
4.49	4.4	73.3	2014-02-03T14:50:00
4.51	4.4	73.3	2014-02-03T14:49:00
4.45	4.4	73.3	2014-02-03T14:48:00
4.35	4.4	73.3	2014-02-03T14:47:00
4.7	4.4	73.3	2014-02-03T14:46:00
5.12	4.4	73.3	2014-02-03T14:45:00
5.23	4.4	73.3	2014-02-03T14:44:00
4.25	4.4	73.3	2014-02-03T14:43:00
4.97	4.65	72.5	2014-02-03T14:42:00
6.96	4.8	72	2014-02-03T14:41:00
6.76	4.8	72	2014-02-03T14:40:00
6.5	4.8	72	2014-02-03T14:39:00
6.65	4.8	72	2014-02-03T14:38:00
