#timestamp.	ozone_ppb	temperature	humidity	latitude	longitude
1392420588.227	24.12981884	2	62	4722.42434	831.77521
1392420588.225	13.11474695	3	64	4722.19022	831.16999
1392420576.355	32.74433685	12	52	4723.48627	831.30326
1392420569.692	14.16282831	2	66	4723.41998	830.62416
1392420561.540	13.29507847	3	66	4722.43606	832.78813
1392420558.249	24.17413027	2	62	4722.42304	831.77567
1392420558.222	13.16333991	3	64	4722.20999	831.12712
1392420546.234	32.74433685	12	52	4723.49072	831.30385
1392420539.862	14.05335958	2	66	4723.40664	830.66834
1392420531.619	13.29507847	3	66	4722.58448	832.68712
1392420528.233	24.17413027	2	62	4722.42424	831.77659
1392420528.196	13.16333991	3	64	4722.22111	830.97348
1392420516.162	32.74433685	12	52	4723.49129	831.30205
1392420509.508	14.05335958	2	66	4723.36002	830.86714
1392420502.157	13.38457758	3	64	4722.60393	832.63333
1392420498.243	24.17413027	2	63	4722.42613	831.77505
1392420498.229	13.35771175	3	65	4722.21243	830.83298
1392420486.202	32.74433685	12	52	4723.49833	831.29986
1392420471.697	13.38457758	3	64	4722.60516	832.61618
1392420468.253	13.35771175	3	65	4722.20853	830.75815
1392420468.203	24.17413027	2	63	4722.42403	831.77862
1392420449.705	14.05335958	2	66	4723.27938	831.06633
1392420441.574	13.56357579	3	64	4722.6174	832.52023
1392420438.254	24.19628598	2	65	4722.43462	831.78557
1392420438.218	13.55208359	3	65	4722.18544	830.57103
1392420426.254	32.74433685	12	52	4723.47839	831.28897
1392420419.427	14.16282831	2	66	4723.26867	831.17941
1392420411.687	13.56357579	3	64	4722.6196	832.43085
1392420408.238	24.19628598	2	65	4722.40285	831.90383
1392420408.211	13.55208359	3	65	4722.16812	830.41947
1392420396.162	32.75435455	12	52	4723.47784	831.28099
1392420390.166	14.16282831	2	66	4723.30125	831.20687
1392420381.476	13.742574	3	65	4722.63345	832.36157
1392420378.219	13.98942023	3	64	4722.16296	830.36499
1392420378.209	24.2184417	2	65	4722.37211	832.01228
1392420366.254	32.75435455	12	52	4723.48264	831.29681
1392420359.438	14.16282831	2	66	4723.37913	831.29054
1392420351.600	13.742574	3	65	4722.63366	832.36159
1392420348.246	24.2184417	2	65	4722.32135	832.08236
1392420348.228	13.98942023	3	64	4722.13762	830.16742
1392420336.165	32.75435455	12	52	4723.47712	831.29855
1392420329.447	14.16282831	2	66	4723.43537	831.35289
1392420321.544	14.01107132	3	66	4722.64061	832.32001
1392420318.281	24.24059741	2	65	4722.31218	832.09175
1392420318.221	13.98942023	3	63	4722.13168	830.10358
1392420306.162	32.75435455	12	52	4723.47178	831.29699
1392420299.368	14.27229705	2	66	4723.3999	831.40416
1392420291.227	14.01107132	3	66	4722.58827	832.26514
1392420288.261	13.98942023	3	63	4722.10375	829.8915
1392420288.213	24.24059741	2	65	4722.23287	832.20111
1392420276.236	32.75435455	12	52	4723.47622	831.29768
1392420270.171	14.27229705	2	66	4723.38343	831.43892
1392420261.771	14.19006953	3	66	4722.55683	832.24253
1392420258.237	24.28490884	2	65	4722.18153	832.32174
1392420258.218	13.69786247	3	63	4722.08806	829.7404
1392420239.349	14.27229705	2	67	4723.32359	831.55672
1392420231.522	14.19006953	3	66	4722.54943	832.18233
